Startup,Sector,Year Founded,Business Model,Stage,Size Category,Valuation (USD B),Funding (USD B),Revenue FY21–23 (INR Cr),Profitability,IPO-Listed,ESG Disclosed,ESG Initiatives,Data Completeness,Source Notes,Revenue_FY21,Revenue_FY22,Revenue_FY23,Latest Headline,Media Sentiment
Byju's,EdTech,2011,Subscription,Growth,Unicorn,5.1,5.0,2280/3039/3500,Loss-making,No,Yes,Rural education initiatives,Complete,Economic Times 2023,2280,3039,3500,"Supreme Court rejects BCCI, Byju’s plea to withdraw insolvency case",NEGATIVE
Unacademy,EdTech,2015,Freemium,Growth,Unicorn,0.8,0.8,380/700/1100,Loss-making,No,No,Not Disclosed,Complete,Inc42 2023,380,700,1100,Talent winning out at Indian gaming companies as focus shifts to high-end titles,POSITIVE
upGrad,EdTech,2015,Subscription,Growth,Unicorn,2.3,2.0,400/800/1500,Loss-making,No,Yes,Digital literacy campaigns,Complete,Crunchbase 2023,400,800,1500,Indiqube Spaces IPO: WestBridge Capital-Backed IPO Raises Rs 314 Crore From Anchor Investors Ahead Of Issue,NEGATIVE
Simplilearn,EdTech,2010,Subscription,Late,Mid,0.7,0.6,150/250/400,Profitable,No,Yes,Workforce upskilling programs,Complete,Tracxn 2023,150,250,400,"Simplilearn Launches 100+ Free Generative AI Courses, Records 470% Surge in GenAI Enrollments as India's Tech Sector Prepares for Job Growth",POSITIVE
Vedantu,EdTech,2014,Freemium,Growth,Mid,1.0,0.9,300/600/900,Loss-making,No,No,Not Disclosed,Complete,YourStory 2023,300,600,900,Startups prep for exits as Chinese backers find little love,NEGATIVE
Razorpay,FinTech,2014,Transaction Fees,Growth,Unicorn,7.5,0.7,1000/1500/1900,Profitable,No,Yes,Financial inclusion,Complete,Inc42 2023,1000,1500,1900,"ICICI Bank to charge Google Pay, Phone Pe & other payment aggregators for UPI transactions: What it means for users",NEGATIVE
PhonePe,FinTech,2015,Freemium,Growth,Unicorn,12.0,1.0,1400/2000/2500,Low-margin,No,Yes,Women-led leadership,Complete,Economic Times 2023,1400,2000,2500,Video Game Stocks To Consider – July 31st,NEGATIVE
Paytm,FinTech,2010,Freemium,Late,Unicorn,3.5,4.0,3000/4200/5500,Loss-making,Yes,Yes,Financial literacy campaigns,Complete,IPO Filing 2022,3000,4200,5500,UPI transactions rebound in July after June dip,POSITIVE
Policybazaar,FinTech,2008,Marketplace,Late,Unicorn,2.4,1.5,1200/1800/2300,Loss-making,Yes,Yes,Insurance inclusion programs,Complete,IPO Filing 2022,1200,1800,2300,Top tech and startup stories this week,POSITIVE
Cred,FinTech,2018,Freemium,Growth,Unicorn,6.4,1.0,800/1400/2100,Loss-making,No,No,Not Disclosed,Complete,Inc42 2023,800,1400,2100,Everyone’s Talking About the Puma Speedcat OG Sneakers—So I Tried Them,NEGATIVE
Nykaa,E-commerce,2012,Marketplace,Late,Unicorn,6.5,0.3,4000/6358/7200,Profitable,Yes,Yes,Sustainable packaging,Complete,IPO Filing 2022,4000,6358,7200,"Swiggy, Nykaa among 10 midcap stocks where FIIs raised stake in Q1",NEGATIVE
Flipkart,E-commerce,2007,Marketplace,Late,Unicorn,37.6,10.0,35000/40000/45000,Loss-making,No,Yes,Green logistics,Complete,Economic Times 2023,35000,40000,45000,Layoffs happening in IT sector: Know how to take care of your financial well-being in such difficult times,NEGATIVE
Meesho,E-commerce,2015,Marketplace,Growth,Unicorn,3.9,3.9,2200/3000/3500,Near breakeven,No,No,Not Disclosed,Complete,YourStory 2023,2200,3000,3500,"ETtech explainer: What is Lenskart’s DRHP for Rs 8,000 crore IPO all about?",NEGATIVE
FirstCry,E-commerce,2010,Marketplace,Growth,Unicorn,3.5,1.0,1000/1400/2000,Profitable,No,Yes,Child welfare programs,Complete,Tracxn 2023,1000,1400,2000,CashKaro gives cashback on your online shopping but is it worth using?,NEGATIVE
PharmEasy,E-commerce,2015,Marketplace,Growth,Unicorn,5.6,1.5,1800/2200/2800,Loss-making,No,Yes,Affordable healthcare programs,Complete,Economic Times 2023,1800,2200,2800,Swiggy Q1: Losses deepen; Rapido stake on block,NEGATIVE
Zoho,SaaS,1996,SaaS (B2B),Late,Mid,3.0,0.0,4200/5500/6000,Profitable,No,Yes,Green data center operations,Complete,Company Report 2023,4200,5500,6000,Cloud Computing on the Rise: Market Projected to Reach $1.6 Trillion by 2030,POSITIVE
Freshworks,SaaS,2010,SaaS (B2B),Late,Unicorn,4.0,1.0,3200/4000/4500,Profitable,Yes,Yes,Diversity hiring programs,Complete,IPO Filing 2021,3200,4000,4500,Top tech and startup stories this week,POSITIVE
Postman,SaaS,2014,Freemium,Growth,Unicorn,5.6,0.7,700/1200/2000,Profitable,No,No,Not Disclosed,Complete,Crunchbase 2023,700,1200,2000,Tales of the Shire review,POSITIVE
Chargebee,SaaS,2011,SaaS (B2B),Growth,Unicorn,3.5,1.0,800/1300/1800,Loss-making,No,Yes,Financial inclusion for SMEs,Complete,Tracxn 2023,800,1300,1800,chargebee-mirror added to PyPI,NEGATIVE
BrowserStack,SaaS,2011,SaaS (B2B),Growth,Unicorn,4.0,0.8,600/1100/1600,Profitable,No,Yes,Remote work enablement programs,Complete,Inc42 2023,600,1100,1600,browserstack-sdk 1.30.7,NEGATIVE
